,GSM352329.CEL,GSM352330.CEL,GSM352331.CEL
200673_at,7837.73877072618,7333.16041137393,5930.77022230943
200674_s_at,17299.9043177479,11421.1444247987,10129.1173600323
200675_at,8911.10693798465,7255.07448383395,7149.92267311591
200676_s_at,453.120857683233,437.608231443604,547.571945406537
200677_at,6353.10143315699,6471.76270050515,5961.98478498012
200678_x_at,4988.61624100638,3794.32919877833,4263.10456227158
200679_x_at,1871.12200738071,1977.25650236807,2042.27558802931
200680_x_at,6812.7765938424,6696.22271774145,5660.00200501846
200681_at,2804.19606124301,3605.53323988367,3229.21591852886
200682_s_at,3423.08248789279,3656.76702733137,3476.91315456588
200683_s_at,1233.69297507489,1346.21723296281,1271.35526071856
200684_s_at,996.779985577861,985.08701560651,1187.63661511011
200685_at,39.9571091966588,105.831357965341,101.413514673565
200686_s_at,722.542299891356,1070.96319554528,1067.67455667033
200687_s_at,643.633382544818,692.659189665952,783.153554725246
200688_at,141.552546333011,116.258787482376,121.313868787479
200689_x_at,15507.4998971422,11751.7457556059,10381.5373553255
200690_at,312.915508438265,234.546484195715,299.865504050422
200691_s_at,2661.4963921552,2433.71144671116,2606.32339905591
200692_s_at,1660.29462999486,1665.54942388297,1637.35325365432
200693_at,9205.85308108568,9365.11087210508,8319.87266927265
200694_s_at,2363.6296971165,2573.23453692115,2485.49867194819
200695_at,1515.62602691621,1077.05151013996,1316.88140827134
200696_s_at,1285.38207608543,780.315087048755,946.647449126225
200697_at,3119.11408916845,3273.37220679906,3522.16630194992
200698_at,2708.93165181733,2613.94911459256,2652.00583815465
200699_at,3526.80847513935,3855.29098289522,3689.1446233819
200700_s_at,4479.07016303964,3089.0040031731,3205.96793664841
200701_at,6558.09330925333,4413.61921389778,4970.89420652217
200702_s_at,751.337250525898,1474.39704821567,1456.22684411065
200703_at,4831.58943633829,4353.93328812824,4587.1241736705
200704_at,94.4008176595864,149.150531531953,114.089676048793
200705_s_at,7584.56555726814,7658.4665505986,6642.49815529374
200706_s_at,87.4251178490396,118.024097137833,135.549931412042
200707_at,1969.97225548172,1014.50335821151,1283.21207739602
200708_at,1425.7843281624,1920.95559963504,1764.4765149039
200709_at,7236.62020469116,5286.09847845262,5459.29292103085
200710_at,2094.49582294836,2226.86610943097,2072.91074263655
200711_s_at,1838.70373942273,2166.36523559795,1937.00265306276
200712_s_at,1102.16480963517,1288.71568283631,1115.40003728065
200713_s_at,2847.78409711347,3145.65117106926,2701.59718151144
200714_x_at,1988.55965668958,1720.13449253969,1963.03677396785
200715_x_at,15434.557416537,12066.3443806527,10699.9309961417
200716_x_at,20874.2902419099,14543.2166210064,12495.8394975774
200717_x_at,20710.2300281044,14425.2761486699,12227.9959408264
200718_s_at,10765.586095299,9720.74808962933,8609.48746157533
200719_at,226.152585880691,331.826468198291,268.326716202113
200720_s_at,1980.49408548748,1725.88612794851,1618.2576027648
200721_s_at,1818.3813812904,1546.75646655766,1903.17343793849
200722_s_at,1292.09369679737,950.614121179769,889.583554378922
200723_s_at,3311.17445299711,2914.35567984125,2835.34717790659
200724_at,94.0695779584288,99.5556841282189,79.9205571039074
200725_x_at,18191.3633096282,12934.0914000691,10797.6790545265
200726_at,2363.75663307441,3389.16678955698,2456.69054739436
200727_s_at,1693.2728305274,938.337243296538,1048.52784827229
