"","logFC","logCPM","F","PValue","FDR"
"204377_s_at",-0.690147127961342,4.26068831571951,3.68636802722311,0.0606002968707775,0.171255095573608
"203721_s_at",0.458419020291816,6.21812516990249,3.68615331382526,0.0606075341602777,0.171255095573608
"216544_at",-0.93891434199272,2.34854118245116,3.68388468496029,0.0606840602505775,0.171438422924893
"219082_at",1.05444647726917,1.84240058685595,3.68377385657412,0.0606878014644147,0.171438422924893
"203666_at",-0.648334607100827,6.23801679759941,3.68329427478732,0.0607039935388563,0.17146242718042
"202079_s_at",-0.501053097876952,4.30643540926652,3.68190192314533,0.0607510302531752,0.171573537025539
"36888_at",-0.351138504036811,5.98221456805885,3.68072942634498,0.0607906708186029,0.171663733094783
"211645_x_at",-1.4138685128658,6.7524601494499,3.67975468115501,0.0608236472799025,0.171729039011316
"220361_at",-1.15207025251772,1.17444692376855,3.67959028640527,0.0608292108296152,0.171729039011316
"211814_s_at",-0.549114560953991,3.45621191664167,3.67887481708388,0.0608534306965728,0.171775651914331
"215587_x_at",-0.691478695633464,4.80952281199492,3.67830121441698,0.0608728557796258,0.171808720118734
"209957_s_at",-0.541567328073438,4.46515886462694,3.67751229273523,0.0608995837730349,0.171862389211567
"210145_at",1.24977654201724,4.67829915158921,3.67675740930738,0.0609251706423923,0.171912824797319
"200628_s_at",1.25624503880088,5.48120270827685,3.67591380165183,0.0609537787965781,0.171971771704754
"216043_x_at",-0.329181717694866,4.55417944248906,3.6755885432668,0.0609648127945085,0.171981127168
"206153_at",-0.811077848771672,0.88618385637925,3.67475198844246,0.0609932019815626,0.1720394328804
"218180_s_at",0.634975542566242,4.68920527154598,3.67438820673785,0.0610055517456856,0.172039570918633
"202487_s_at",0.544711354643205,6.23554767862188,3.67407381215657,0.0610162271134964,0.172039570918633
"204743_at",-0.50478589771113,4.52862005625223,3.67399846033385,0.0610187860132491,0.172039570918633
"202298_at",0.557201033598312,6.9840293450449,3.67384100197135,0.0610241335790008,0.172039570918633
"211602_s_at",0.901864946294778,3.61706944575446,3.67286007050908,0.0610574593444815,0.172111747827082
"202023_at",0.950099218168339,5.10561561280749,3.67260145288592,0.0610662488424351,0.172113939920204
"213721_at",-0.929719570839764,2.16355469062756,3.67230371897106,0.0610763694851394,0.172113939920204
"211826_s_at",-0.438541168569197,4.19084663983259,3.67215548412363,0.0610814090063715,0.172113939920204
"203652_at",-0.377041685663903,5.49264257248149,3.66813864161321,0.0612181430592104,0.172477415828598
"215112_x_at",1.40672498440263,1.20205532207188,3.6671962881795,0.0612502695939356,0.172546113446481
"206516_at",-0.844856697442849,1.81584954830629,3.66670428735435,0.0612670501487711,0.172571568507782
"217595_at",0.924594839857735,2.57559009177594,3.66633611278482,0.0612796106934678,0.172585132088289
"200918_s_at",0.762359916402513,6.18576419524388,3.66580582127828,0.0612977069459408,0.172607080463701
"218147_s_at",0.837431855275695,4.76173217491147,3.66565378902658,0.0613028961445823,0.172607080463701
"219487_at",0.541784036319842,4.25059324291809,3.66460532476763,0.0613386956977614,0.172686058905018
"218090_s_at",0.504265873638813,5.57839296652727,3.66397834370765,0.0613601147804092,0.172724537348643
"220395_at",-0.38253794962156,5.37947654663371,3.66330655193244,0.061383073813571,0.172767340379917
"203550_s_at",0.853679981566057,4.55853154282519,3.66293932677662,0.0613956280214095,0.172771754693569
"202127_at",0.439397339278529,5.14130983548226,3.66280709620664,0.0614001492356671,0.172771754693569
"214672_at",0.484399799612635,5.11351918262968,3.66195703767312,0.0614292230832527,0.172831739641934
"215973_at",-0.614372885634149,3.51727200339027,3.66010946636422,0.0614924661897831,0.172987832862888
"218299_at",0.908206834183273,3.6119220067013,3.65976886998791,0.0615041327447677,0.172998812162542
"214197_s_at",-0.396763909122387,4.42302644510224,3.65756697629193,0.061579613586801,0.17318926284926
"221818_at",-0.554146300285607,3.9811441344331,3.65680265850987,0.0616058381576877,0.17324115240633
"209773_s_at",0.673323521754638,5.49459685515569,3.6561757215983,0.0616273581996386,0.17324253889499
"206501_x_at",-0.406037822069695,4.65709112131084,3.65616119594206,0.0616278569006664,0.17324253889499
"208283_at",-0.790375630618258,1.31571783219493,3.65588533249186,0.0616373288038412,0.17324253889499
"AFFX-r2-Hs28SrRNA-5_at",-1.24226378987841,4.21700037828762,3.65588239112595,0.061637429805658,0.17324253889499
"213214_x_at",0.432661476053262,10.5709664995805,3.6551607598021,0.0616622149692518,0.173290343821395
"215310_at",-0.846952266077256,2.88089677686304,3.65483892288321,0.0616732723159855,0.173298005182457
"211764_s_at",0.635898696034822,4.81593407479378,3.65453939086503,0.0616835652903048,0.173298005182457
"208375_at",1.02508045520233,1.86062659453086,3.65440242510786,0.0616882725444172,0.173298005182457
"218092_s_at",0.419291202475818,5.42928352938802,3.65356768324505,0.0617169695756846,0.173354768414181
"215399_s_at",0.442354772284474,5.03359048283887,3.65336214974482,0.0617240377237407,0.173354768414181
"221230_s_at",0.436681218229348,6.07405802448218,3.65305079231046,0.0617347467739472,0.173362994626826
"217908_s_at",0.724381333762818,5.85914731857228,3.65200312345536,0.0617707960357689,0.173399262225842
"208374_s_at",0.473090137569874,7.82163966018755,3.65197904769185,0.0617716247310176,0.173399262225842
"205700_at",2.24938794381748,6.31768739578027,3.65185848536654,0.0617757747073545,0.173399262225842
"214730_s_at",0.377779739761434,5.85313376314577,3.65177093800281,0.0617787884401096,0.173399262225842
"210501_x_at",0.466087950182438,7.15213797292112,3.65114128714293,0.0618004683162489,0.173438266434631
"202891_at",0.438622399114493,5.36596421511055,3.65031718408217,0.06182885611784,0.173486401930337
"203083_at",0.862600325357069,8.10516055813307,3.65019136642091,0.0618331914073839,0.173486401930337
"213240_s_at",-0.476479569085429,1.07302723661573,3.64952818474768,0.0618560481271266,0.173517402591308
"222376_at",-0.388503370431012,4.54473110403751,3.6491238092452,0.0618699895833926,0.173517402591308
"203464_s_at",0.501180275489975,3.93077069348248,3.64909012866851,0.061871150927863,0.173517402591308
"217548_at",-0.616966820647656,4.08441744494342,3.64880796316802,0.0618808812549702,0.173517402591308
"202777_at",0.39215078613181,6.29391700991503,3.64856684121799,0.0618891975491393,0.173517402591308
"201430_s_at",1.0172236640467,4.73701300088831,3.64831799749897,0.0618977814544627,0.173517402591308
"216693_x_at",0.553331903824304,5.41111631780568,3.6482899391393,0.0618987494142758,0.173517402591308
"AFFX-M27830_3_at",-0.731798673708333,3.04551998011886,3.64795348339458,0.0619103577901108,0.173518065542095
"40524_at",-0.720910151422018,2.86151549996185,3.64769926283591,0.0619191304787056,0.173518065542095
"205111_s_at",-0.560279717037425,3.44733895783182,3.64760345017956,0.0619224371533416,0.173518065542095
"203415_at",0.485230912688079,5.68528213564436,3.64731418000106,0.061932421587263,0.173518065542095
"211006_s_at",-0.563782406163795,3.74901844734751,3.6469505178013,0.0619449762415859,0.173518065542095
"201898_s_at",0.432445241660577,5.78225009284907,3.64692932391605,0.0619457080010486,0.173518065542095
"214696_at",-0.815179677172109,5.94023743638974,3.64479830008082,0.0620193341846757,0.173693626935595
"210163_at",1.36851179678906,3.62354641590123,3.64466412915678,0.0620239729626409,0.173693626935595
"209929_s_at",0.986029000429201,2.87822305392386,3.64375753951183,0.0620553270630439,0.173759594489295
"202895_s_at",0.367658487004131,4.44395579915548,3.64291975654913,0.0620843169891436,0.173818926431598
"216368_s_at",-0.48813686079686,3.61739345080689,3.64209227247561,0.0621129651479689,0.173877286732687
"214976_at",-0.524986488692701,4.08502030861704,3.64114354106149,0.0621458288598883,0.173912471674922
"212048_s_at",0.467299245693886,5.75884090163597,3.6410956751918,0.0621474874224153,0.173912471674922
"209234_at",0.715235230117774,4.58204453073246,3.64105351955604,0.0621489481644035,0.173912471674922
"208729_x_at",1.05178325827031,8.38057148948435,3.63976850225663,0.0621934936200792,0.17401527101158
"217935_s_at",0.656439635988359,4.88467174739821,3.63731304156281,0.0622787103927531,0.174211051312465
"203811_s_at",1.27614409559012,4.5749770748491,3.63730175988442,0.0622791022194091,0.174211051312465
"207189_s_at",-0.73242252364354,3.77761753075614,3.63532912412512,0.0623476559647847,0.174378730999209
"201855_s_at",0.667757220930979,5.30563799327857,3.63512663332778,0.0623546976888974,0.174378730999209
"212969_x_at",0.682930077951845,4.01098531556634,3.63387627990285,0.0623981987517969,0.174478486985355
"219188_s_at",0.63097664785134,3.80189581642321,3.63298245450517,0.0624293162838582,0.174531965910565
"217916_s_at",0.478553595003448,6.31295726444572,3.63287698284237,0.0624329892865914,0.174531965910565
"35160_at",0.735342219884685,3.73069208394074,3.63236086107433,0.0624509664172789,0.174560321710515
"210976_s_at",0.410501002918005,6.23917224757281,3.63134536733966,0.0624863538723663,0.174637328902287
"202668_at",0.756366663324318,5.95688876850957,3.63100608945488,0.0624981817813862,0.174648480641413
"218530_at",0.437577613198171,4.66249623824536,3.6285990148376,0.0625821679256966,0.174861247384113
"211388_s_at",-0.553169533489662,3.62571967490939,3.62824664194863,0.0625944731048205,0.174873701629227
"210710_at",-0.80400269912267,3.24611551633028,3.62645747957048,0.0626569933100001,0.175026423709005
"215550_at",-0.694775175771304,3.86107209231099,3.62482948212735,0.0627139414336147,0.175163544367666
"206802_at",-0.763320339478732,3.22845687006786,3.62374394502426,0.0627519456488152,0.175247725892035
"208061_at",-0.907357096557181,2.9146406320668,3.62297097327245,0.0627790225067209,0.175301373247777
"219762_s_at",0.901827751487416,8.31900715537473,3.62220363810651,0.0628059146195474,0.175354491350379
"221932_s_at",0.983211437073599,4.50882787649788,3.62189103359392,0.0628168738213756,0.175363116933314
"216292_at",-0.527014370812421,4.27845545974826,3.62115979289986,0.0628425176637105,0.175400403593254
"200932_s_at",0.452801106019228,5.4616908561561,3.62096442509102,0.0628493709550522,0.175400403593254
"221255_s_at",0.399798412505751,4.81089130115997,3.62083690241279,0.062853844755739,0.175400403593254
"204601_at",1.25775649399292,3.00637827298885,3.61971355800477,0.0628932694922038,0.175488445291107
"213550_s_at",1.05428706053232,3.3024037360612,3.61830678265239,0.0629426798209734,0.175568142469286
"217915_s_at",0.502830141923166,6.79333656598464,3.61828788718005,0.0629433437791187,0.175568142469286
"218947_s_at",0.643410248665322,4.74333038854335,3.61822740165611,0.0629454692001582,0.175568142469286
"214590_s_at",1.03139852211764,2.70473755997117,3.61771617385932,0.0629634365562314,0.175596277444619
"206831_s_at",-1.08149369037803,2.13890925050359,3.61706192719519,0.062986438606382,0.175612252335323
"200096_s_at",0.62187768195702,7.5061899704453,3.61699763377261,0.0629886995374851,0.175612252335323
"207909_x_at",-0.977619128706189,2.34283559529834,3.6164673035549,0.0630073524392787,0.175612252335323
"220025_at",-0.57970587473437,3.66952686277567,3.61632148512943,0.0630124822642209,0.175612252335323
"219322_s_at",-0.808169059636955,2.55397956635359,3.61626537031085,0.0630144564799879,0.175612252335323
"206587_at",-0.328512026615984,4.44888897241458,3.6162086904827,0.0630164506427879,0.175612252335323
"204667_at",-0.612885130219208,3.75534492265,3.61571304622957,0.063033891819203,0.175638891010041
"204156_at",0.932446223077491,3.66174035609783,3.61450899757528,0.063076283075404,0.175735035730086
"206231_at",0.602484179402505,4.09950225090882,3.61389713713292,0.0630978370151538,0.175773109414761
"210517_s_at",-0.569395544484528,6.17244013740936,3.6133633353832,0.0631166478035089,0.175803532875699
"214860_at",-1.02385234275397,1.7798989725884,3.61202566336367,0.0631638134878566,0.175871900941404
"212184_s_at",0.42291735510481,5.44742245409516,3.61185206138348,0.0631699374519526,0.175871900941404
"221965_at",0.329650994016035,5.02138777271026,3.61184081182905,0.0631703343124999,0.175871900941404
"205064_at",-0.519831010463953,3.70096458612083,3.61177194716939,0.0631727637721581,0.175871900941404
"203493_s_at",0.710397961101077,4.13160331999775,3.6099682161617,0.063236433757349,0.176027164698939
"209235_at",0.902715293391622,4.01968437925554,3.60954931629192,0.063251230616431,0.176046361706961
"221297_at",-0.454251804913574,4.71399212756105,3.6090254423537,0.0632697408466787,0.176056467393077
"220906_at",-0.545827961899191,3.58683205019002,3.60897579206008,0.0632714954676879,0.176056467393077
"205399_at",-0.697620276588322,4.34349707978201,3.60877578272081,0.0632785642575576,0.176056467393077
"202475_at",0.351222716139173,5.37128640244198,3.60837160570192,0.0632928514529452,0.176066133389064
"207160_at",-0.690948182736062,3.16018230285626,3.6082304732109,0.0632978411605167,0.176066133389064
"220340_at",-0.683823342771369,3.93250671631644,3.60784927403845,0.0633113205336215,0.176081646960895
"208557_at",0.861310343220545,3.47000540840971,3.60728925119828,0.0633311289159704,0.176114756724643
"207694_at",-0.752516763785869,2.79756819488218,3.60610274552878,0.0633731189310219,0.176189376834285
"200737_at",0.746094526065053,5.73702651246658,3.60595132708686,0.0633784797781611,0.176189376834285
"217346_at",0.467915060159817,4.95669636001279,3.60586085496128,0.0633816831083619,0.176189376834285
"218958_at",-0.61233930663643,3.70167309803267,3.60551119518393,0.0633940651225739,0.176192552322071
"217734_s_at",0.61622408727464,5.70759065236162,3.60538203614439,0.0633986395242276,0.176192552322071
"221316_at",0.961888017883249,2.74174346047926,3.6049740814414,0.0634130903637473,0.176210736073748
"207208_at",-0.807085902298174,2.88156785817817,3.60358618053486,0.0634622806289108,0.176325436315962
"35820_at",0.862254667978481,4.84857547765848,3.60048485420148,0.0635723501659126,0.176609235599929
"218200_s_at",0.397861551277772,6.8558729827245,3.60012162934853,0.0635852551488489,0.17661180199974
"209747_at",0.769262039969239,5.96468156075593,3.60001270492619,0.0635891256762517,0.17661180199974
"200668_s_at",0.500530777862679,7.12873063909874,3.59887346694418,0.0636296229612576,0.176702254292834
"205964_at",1.27910763497897,3.14008300245221,3.59778889102896,0.0636682034909011,0.176787361792866
"218037_at",0.37410353679477,5.05565020444433,3.59751929619459,0.0636777975087051,0.17679197132899
