Name,logFC,logCPM,F,PValue,FDR
ZNF408,0.116245913,3.304944531,0.517217104,0.48365041,0.780458476
LINC00324,-0.431891171,-0.56863732,0.516832107,0.483810361,0.780553394
TRAPPC2L,0.087236372,4.866203869,0.516690189,0.483869346,0.780553394
NDUFA4L2,-0.093642839,4.676846337,0.516598991,0.483907257,0.780553394
UBAP2,0.063500848,7.231606002,0.516512767,0.483943104,0.780553394
TCP1,0.058735226,8.003588073,0.51634327,0.484013586,0.780572768
RAD9A,-0.126601436,2.982375504,0.516118845,0.484106936,0.780629013
KLHDC4,0.10434674,3.729596076,0.515888615,0.484202733,0.780689189
AR,-0.630205,-1.271288278,0.515300754,0.484447485,0.780989486
PDLIM4,0.106519896,4.421869699,0.5150386,0.484556701,0.781002542
NCOR2,-0.098466922,6.701597756,0.515000473,0.484572588,0.781002542
SORBS1,-0.299791356,0.255008542,0.514799455,0.484656368,0.781043277
RHOU,-0.267974271,0.533329149,0.514435091,0.484808289,0.781166367
COPS7A,0.075207502,5.73499024,0.514335624,0.484849776,0.781166367
CDR2,-0.089699974,5.046267959,0.513787382,0.485078555,0.781440655
POLR2F,-0.092798435,5.193448863,0.513344227,0.485263618,0.781644462
MATR3,-0.067329332,8.765679452,0.512933128,0.485435404,0.78170555
ANKIB1,-0.065541192,6.516653491,0.51285896,0.485466408,0.78170555
ASIC3,0.197371652,1.742369856,0.512813937,0.48548523,0.78170555
COPS8,-0.077302394,5.458034762,0.512693078,0.485535762,0.78170555
GUCY2D,-0.370705042,-0.060631273,0.511615625,0.485986659,0.782309442
TBPL1,-0.14974363,3.165653847,0.511459703,0.486051969,0.782309442
KRT16P3,-0.423288566,-0.699856948,0.511376913,0.486086654,0.782309442
GDF15,0.170620664,6.251201629,0.511030182,0.486231961,0.782390603
TRA2A,-0.07158745,6.554888908,0.510841767,0.486310953,0.782390603
M1AP,-0.259382046,0.731111979,0.510803517,0.486326992,0.782390603
BRSK1,-0.490891903,-0.624226958,0.51069737,0.486371506,0.782390603
Sep/04,-0.656389659,-1.444288413,0.510333507,0.48652415,0.782541856
CA5BP1,0.157446024,2.311657508,0.509717521,0.486782752,0.782850801
ZNF717,-0.151443177,1.915133399,0.509398694,0.486916695,0.782850801
POLR3A,0.067044245,6.105349401,0.509384522,0.48692265,0.782850801
NKD1,0.364485011,-0.084402503,0.509293801,0.486960775,0.782850801
SARS2,0.105402264,3.688405173,0.5090469,0.487064561,0.782850801
TMEM253,-0.186952746,1.544810576,0.509025813,0.487073427,0.782850801
GBA,0.07526285,5.829889053,0.508899092,0.487126712,0.782850801
USP4,-0.071667002,6.042325111,0.508646629,0.487232899,0.782927203
TIPARP-AS1,0.608509773,-1.30939313,0.50822918,0.487408569,0.783006442
HERPUD2,-0.072711285,5.641179169,0.507992222,0.487508334,0.783006442
ZNF558,0.102074095,3.889459801,0.50783405,0.487574948,0.783006442
AGMO,-0.462096602,-0.577061647,0.507802344,0.487588303,0.783006442
ARHGAP6,-0.447456086,-0.738235727,0.507797246,0.48759045,0.783006442
PTOV1,0.088524511,5.440426956,0.507682053,0.487638976,0.783006442
ZSCAN9,-0.111390713,4.143450552,0.507554364,0.487692776,0.783006442
SDHAP2,0.093066675,4.086517839,0.506404197,0.488177847,0.78345106
SUPT3H,-0.149637916,2.872210106,0.506397076,0.488180853,0.78345106
HNRNPU,0.056308315,8.718693138,0.506329487,0.488209385,0.78345106
CPSF3,-0.077041698,5.416024144,0.506244604,0.488245221,0.78345106
MIIP,0.109313573,3.480927563,0.506202181,0.488263133,0.78345106
TMEM53,-0.160185354,2.635077137,0.504969005,0.488784304,0.784048855
NDUFB11,0.095178698,4.430847421,0.504959072,0.488788505,0.784048855
TBC1D2B,0.06819713,6.169551873,0.504903815,0.488811882,0.784048855
BTG4,-0.614010908,-1.037717553,0.504660814,0.488914704,0.78411957
WIPI1,0.06939438,5.584508335,0.504347316,0.489047412,0.784159516
ALG10,-0.27309035,0.608359456,0.504324464,0.489057088,0.784159516
VRK2,0.082446801,4.760146056,0.503889579,0.489241292,0.784360663
SLC18B1,0.108107424,3.818263129,0.503483496,0.489413405,0.784484737
METTL23,-0.091508629,3.737714628,0.503429713,0.489436208,0.784484737
SEMA3A,-0.063317873,6.253761126,0.503088043,0.489581114,0.784524528
SERPINH1,0.073542525,7.957503114,0.502996952,0.489619759,0.784524528
ZBTB39,0.089450412,4.01561132,0.502753592,0.48972303,0.784524528
UVSSA,-0.110163645,3.291982864,0.502691569,0.489749356,0.784524528
TCTA,-0.090099978,4.577450016,0.502442113,0.489855264,0.784524528
ZFYVE19,0.108312226,4.818072717,0.502330824,0.489902525,0.784524528
GATAD2A,0.078283779,6.396031696,0.502194492,0.489960432,0.784524528
APOBEC3D,-0.215063581,0.927990885,0.502175109,0.489968666,0.784524528
CD163L1,-0.360497106,0.127202282,0.502041064,0.490025614,0.784524528
RNF216,0.080380002,5.277891624,0.501986752,0.490048692,0.784524528
BCAP29,-0.098428268,5.697211637,0.501527319,0.490243985,0.784707027
CD226,0.264174721,0.508578808,0.501319992,0.490332159,0.784707027
ANKRD46,0.155289,2.669519774,0.501108136,0.490422288,0.784707027
HEATR6,-0.078885905,5.028827231,0.500925762,0.490499897,0.784707027
KPNA7,0.152767814,2.47347825,0.50090037,0.490510705,0.784707027
CCDC125,-0.103133217,3.70111777,0.500865548,0.490525526,0.784707027
PDE4D,0.114869161,2.986513125,0.500714526,0.490589816,0.784707027
GAB3,-0.319559943,0.04606387,0.500613278,0.490632925,0.784707027
EPHA1-AS1,-0.348187561,-0.255335461,0.500415115,0.490717318,0.784747987
SF3B3,0.071320134,7.675263674,0.499668138,0.491035665,0.784935787
TRIM24,-0.076512455,5.11117903,0.499581529,0.4910726,0.784935787
RSPH3,0.087675861,4.237377099,0.499540489,0.491090103,0.784935787
GLRX2,-0.271975773,1.209757205,0.499487487,0.491112709,0.784935787
ZNF134,-0.077883189,4.879485015,0.499449914,0.491128737,0.784935787
PHLDA2,0.191031304,4.072119618,0.498890709,0.491367374,0.78522318
TREM1,0.190968792,1.411321449,0.498571279,0.49150378,0.785280732
KRT31,0.220568405,1.104222248,0.498300623,0.49161941,0.785280732
CLIP3,-0.155788712,1.711034736,0.498264623,0.491634794,0.785280732
PODNL1,-0.132531161,2.397698087,0.498188446,0.491667349,0.785280732
YJEFN3,-0.417304399,-0.619464382,0.498117898,0.491697501,0.785280732
LOC644656,0.30260719,0.206185208,0.497824267,0.491823035,0.785345319
CCZ1B,-0.092354787,4.286564692,0.497747081,0.491856044,0.785345319
PIM2,0.106039564,3.388377018,0.497610586,0.491914424,0.785345319
NES,0.441762119,-0.375956979,0.497201116,0.492089633,0.785478437
SLC30A4,-0.166020905,1.741032505,0.497114473,0.492126721,0.785478437
HES7,-0.355213198,-0.010566095,0.496891053,0.492222379,0.785478437
FCGRT,-0.128298342,3.588282435,0.496865891,0.492233154,0.785478437
TMEM109,-0.066095849,5.694812807,0.496507805,0.492386544,0.785629301
ZNF879,-0.184688722,1.973190036,0.495685009,0.492739314,0.785978131
PARPBP,-0.251083606,1.852463603,0.495528254,0.492806572,0.785978131
NKAPP1,0.362399146,-0.484775833,0.495458268,0.492836606,0.785978131
PIBF1,-0.159268819,3.13954963,0.495448799,0.49284067,0.785978131
CLN6,0.096087042,3.543708993,0.495032694,0.493019306,0.786138587
GNA11,0.083702737,4.842359675,0.49494014,0.493059055,0.786138587
ADAMTS14,0.303937229,0.180701551,0.494306051,0.493331531,0.786298196
PRRT1,-0.444945178,-0.82205767,0.494303944,0.493332436,0.786298196
SLC39A3,-0.123279938,2.845466236,0.49419951,0.493377338,0.786298196
NAPA-AS1,0.335833404,0.096607782,0.494026981,0.493451534,0.786298196
MRPS18A,0.079163349,5.12034832,0.494022049,0.493453655,0.786298196
ZFYVE21,0.072738564,5.837796848,0.493412654,0.493715881,0.786500333
CAMKMT,0.112409248,3.574582486,0.493222007,0.493797968,0.786500333
RPL23AP53,-0.146751587,2.645841066,0.49319355,0.493810223,0.786500333
GPR89A,0.217526786,1.369797485,0.493179755,0.493816164,0.786500333
SLC2A3,-0.128769517,3.286073619,0.492796644,0.493981203,0.786585969
