X	DMSO_24h_run1	DMSO_24h_run2	DMSO_24h_run3	DMSO_24h_run4	DMSO_24h_run5	NK_24h_run1	NK_24h_run2	NK_24h_run3	NK_24h_run4	NK_24h_run5	VPA_EC10_24h_run1	VPA_EC10_24h_run2	VPA_EC10_24h_run3	VPA_EC10_24h_run4	VPA_EC10_24h_run5
rgra_85246	6	0	6	2	0	2	1	0	3	4	3	4	1	4	0
GFOD1_85247	105	56	51	71	0	64	47	62	32	33	51	40	36	51	47
ret_85248	38	58	37	52	0	37	36	45	40	46	26	59	42	33	51
sfrp1a_85249	222	286	455	325	0	260	359	367	320	269	265	235	291	426	251
tmem63a_85250	37	31	53	35	0	49	33	54	27	26	42	45	32	39	27
wnt1_85251	3	0	6	8	0	3	4	2	5	1	2	2	4	4	2
fsta_85252	32	13	8	3	0	18	7	19	8	6	19	7	9	14	7
etv1_85253	1	2	3	4	0	7	2	1	1	3	3	5	0	3	0
cyc1_85254	322	446	314	454	0	327	496	571	530	418	333	298	358	452	354
si:dkey-16l2.17_85255	10	5	6	1	0	12	2	8	3	8	5	5	10	4	2
kctd9a_85256	107	123	118	150	0	104	128	129	137	123	92	133	90	139	110
wnt8a_85257	2	0	0	1	0	0	1	1	1	0	0	0	3	0	2
eci1_85258	9	7	23	12	0	10	8	14	18	25	25	17	13	23	12
sgcb_85259	54	69	71	72	0	59	96	83	107	71	80	81	61	90	50
ppie_85260	0	8	2	10	0	1	2	13	5	7	9	6	9	6	4
cenph_85261	48	92	20	91	0	88	98	31	57	25	61	111	40	142	33
abcc5_85262	282	100	206	108	0	255	98	125	121	65	159	109	154	131	85
mfsd2aa_85263	21	8	12	8	0	1	11	8	2	2	4	9	7	8	3
zmiz1a_85264	51	42	68	48	0	41	62	81	36	39	61	54	52	54	62
map2k4a_85265	78	25	36	9	0	67	27	46	27	13	43	24	29	35	8
isl2b_85266	45	57	61	65	0	52	45	100	51	45	44	46	55	64	55
pcdh2ab12_85267	66	17	41	12	0	56	26	36	22	29	27	28	39	26	35
prx_85268	91	53	134	83	0	70	75	73	84	65	58	47	69	101	48
rb1_85269	187	155	171	143	0	202	160	188	134	108	176	112	144	191	88
ube2t_85270	144	136	154	82	0	123	147	164	117	74	126	70	118	90	63
eif2s2_85271	3396	6914	4406	8650	1	3744	6080	5261	7415	8961	2906	6335	3950	6737	6652
psmd12_85272	1127	1432	1534	1612	0	1099	1609	1539	1559	1499	1040	1253	1154	1683	1198
bin2a_85273	20	37	33	35	0	22	34	27	34	24	23	38	25	38	20
dlgap5_85274	37	72	49	89	0	39	85	56	95	70	33	72	44	61	60
dcun1d4_85275	195	119	183	134	0	156	139	108	141	103	116	122	165	193	136
mmp15b_85276	26	24	24	19	0	20	22	23	24	11	17	10	22	12	11
