X	Mhex_1.2EC10_24h_run1	Mhex_1.2EC10_24h_run2	Mhex_1.2EC10_24h_run3	Mhex_1.2EC10_24h_run4	Mhex_1.2EC10_24h_run5	DMSO_24h_run1	DMSO_24h_run2	DMSO_24h_run3	DMSO_24h_run4	DMSO_24h_run5	NK_24h_run1	NK_24h_run2	NK_24h_run3	NK_24h_run4	NK_24h_run5
sox4a_85623	449	303	450	417	449	355	385	489	387	1	360	388	475	397	361
si:ch211-253b8.5_85624	56	59	59	41	59	76	25	36	50	0	80	50	26	92	59
vgll4b_85625	284	227	276	217	206	317	210	292	181	0	287	233	311	187	150
aldh2.2_85626	11	6	8	17	13	12	9	9	11	0	21	7	9	23	6
henmt1_85627	0	2	0	2	2	5	0	0	3	0	5	2	1	1	2
mlec_85628	646	584	779	959	1106	1162	1009	1033	836	0	1020	837	807	717	833
rfc4_85629	14	15	15	16	11	34	16	7	8	0	18	17	13	8	6
eif4ba_85630	23	17	36	21	29	21	30	32	25	0	34	27	32	16	18
sgpp1_85631	87	47	103	55	63	119	63	105	60	0	141	88	116	67	47
jpt2_85632	181	138	189	126	148	142	131	190	176	0	113	186	206	188	125
ano9a_85633	257	256	256	211	230	320	249	333	234	0	344	307	399	211	239
SPDEF_85634	19	15	24	27	25	12	24	37	25	0	10	18	29	27	9
fgf8a_85635	23	9	11	4	11	20	12	12	5	1	17	11	10	6	2
si:ch211-160o17.2_85636	77	37	48	59	45	59	33	49	46	0	83	55	71	47	40
prkacbb_85637	469	313	530	401	411	460	425	475	511	0	434	454	567	495	414
ncaph_85638	27	2	1	13	27	16	10	5	25	0	30	0	11	0	20
dph2_85639	3	6	6	3	2	6	7	8	13	0	10	6	0	6	3
tigarb_85640	7	17	7	11	17	23	19	32	6	0	19	19	21	15	9
fosl1a_85641	13	10	34	16	18	58	24	22	19	0	18	14	23	18	16
ctnna1_85642	409	295	364	319	315	499	328	453	237	0	489	342	416	280	229
ecd_85643	3	4	6	3	3	9	5	2	3	0	5	8	10	4	3
ice1_85644	15	9	20	21	28	28	19	8	33	0	16	8	19	21	14
rfc5_85645	11	8	7	6	5	6	11	4	6	0	40	4	3	11	11
snx24_85646	2	6	2	0	4	0	2	2	3	0	2	0	1	0	2
atad2_85647	325	280	342	324	345	597	329	362	297	1	477	319	447	252	281
kif20a_85648	29	20	32	24	16	23	10	28	10	0	22	19	32	14	17
plk3_85649	79	35	70	50	30	63	60	66	35	0	53	58	87	53	41
ecscr_85650	8	4	10	13	9	5	15	14	17	0	2	10	20	13	15
hdac6_85651	25	14	28	23	23	17	14	17	16	0	30	20	23	13	10
bmp7a_85652	9	5	3	5	6	10	4	12	6	0	4	4	10	3	4
gata4_85653	3	7	2	0	2	1	3	4	1	0	0	0	2	0	7
adgrl4_85654	3	4	0	2	1	0	0	2	1	0	1	2	1	1	2
fpgs_85655	96	57	84	86	76	93	68	83	77	0	63	106	107	65	52
lrp5_85656	35	15	16	10	15	42	14	25	20	0	34	18	20	17	11
polr2i_85657	177	175	182	240	285	116	256	219	344	0	178	248	219	274	342
snx13_85658	9	7	7	1	7	9	8	9	12	0	13	4	13	2	6
plrg1_85659	16	16	10	13	14	18	10	4	15	0	16	9	23	13	2
si:zfos-367g9.1_85660	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0
si:busm1-228j01.6_85661	1	0	2	1	2	0	0	1	1	0	0	0	2	3	0
fybb_85662	0	1	1	1	0	1	3	4	3	0	2	0	0	1	7
btr01_85663	10	8	17	10	12	20	2	34	4	0	21	17	12	8	8
opn3_85664	0	1	0	0	0	0	0	2	1	0	0	1	4	0	1
si:dkey-33b17.3_85665	2	0	1	0	0	0	2	1	3	0	1	0	1	0	1
daam1a_85666	196	157	260	189	205	198	213	192	242	0	172	228	212	198	182
exo1_85667	62	42	27	39	34	62	54	48	27	0	60	60	58	39	36
recql_85668	8	5	4	3	8	6	6	4	4	0	8	7	6	10	8
ilf2_85669	42	22	28	20	16	68	23	22	23	0	39	18	20	18	12
matn4_85670	331	419	709	742	1179	320	545	386	899	1	331	599	593	892	1310
ywhaba_85671	711	669	699	862	916	1193	711	761	821	1	974	834	786	693	650
sox10_85672	13	7	11	5	17	32	6	12	4	0	22	8	20	11	6
cytip_85673	0	1	1	2	0	0	2	4	0	0	2	2	0	1	1
arrdc3a_85674	12	11	14	5	15	7	21	11	17	0	11	13	13	10	13
gria2a_85675	3	5	6	2	3	2	4	4	4	0	2	7	5	5	7
bcl2l11_85676	76	79	101	154	145	76	88	114	119	0	103	111	128	111	120
cox8a_85677	64	58	82	32	62	89	55	68	50	0	63	71	105	43	44
nrcama_85678	40	25	33	54	50	89	50	49	36	0	56	50	39	22	28
atp11c_85679	78	65	36	71	37	94	100	73	18	0	118	111	68	25	10
g6pd_85680	9	6	2	1	4	8	13	8	6	0	12	6	7	0	3
gsr_85681	1	39	51	28	104	2	0	38	41	0	0	28	0	67	27
rbx1_85682	0	5	3	2	7	0	4	5	0	0	7	4	4	3	9
si:ch211-114c12.5_85683	0	4	1	2	2	0	3	6	1	0	1	2	0	0	2
col6a3_85684	10	3	10	2	15	1	8	23	14	0	3	5	11	10	15
rpl4_85685	1397	1259	1399	1289	1309	1229	1409	1561	1449	2	1112	1396	1697	1474	1215
phf5a_85686	519	565	573	634	668	686	583	632	539	0	600	595	582	654	599
sdf4_85687	317	252	315	258	386	289	336	361	345	0	281	360	260	302	250
tbp_85688	3	4	2	6	8	2	3	6	4	0	7	1	7	4	3
tspan4a_85689	0	6	2	6	5	4	4	7	1	0	2	6	7	7	7
vtg2_85690	2	4	1	1	0	3	3	4	1	1	1	3	3	2	1
sparta_85691	4	1	0	1	2	9	1	0	3	0	2	0	0	0	0
krt5_85692	4629	2640	4343	3846	2495	2875	3232	4545	4548	4	3151	3717	4587	4812	1955
rbks_85693	48	47	54	56	43	80	37	59	55	0	73	58	51	50	51
dnmt3bb.1_85694	12	9	10	9	7	10	10	7	7	0	16	7	9	5	7
alkbh5_85695	2	1	5	9	3	1	3	3	3	0	8	10	4	9	1
id2a_85696	4	3	1	6	3	10	3	6	3	0	4	6	3	4	3
cyp2aa4_85697	117	70	57	61	41	222	72	63	70	0	99	66	56	25	38
acp1_85698	403	333	600	491	562	415	572	490	692	0	381	501	520	579	585
hspa8_85699	3942	3321	4251	3428	3608	1775	3436	3321	3958	2	1755	4146	4397	4514	3239
furina_85700	4	2	2	3	4	1	3	4	1	0	8	6	3	2	1
rpl19_85701	32752	32412	50572	56327	60058	27554	53791	43107	63145	73	28160	44661	43219	55555	73426
b4gat1_85702	16	8	15	7	5	25	9	14	15	30	11	13	7	9	7
plin2_85703	1	4	0	2	3	9	1	0	1	0	8	1	0	2	4
shank3b_85704	5	5	2	5	0	0	10	4	5	0	0	10	12	2	5
apoa1a_85705	269	221	347	178	24	974	166	475	115	0	373	413	422	148	55
mtm1_85706	54	46	46	50	42	46	42	72	44	1	54	50	66	57	25
fdft1_85707	19	17	12	7	6	20	6	16	16	0	18	20	20	8	13
vrk1_85708	469	321	297	362	201	490	355	326	305	0	429	301	214	195	257
psma4_85709	72	32	57	27	35	91	42	62	42	0	109	66	97	48	39
timmdc1_85710	307	250	288	346	311	491	332	315	314	0	370	318	281	225	238
pccb_85711	8	5	8	10	7	4	6	2	9	0	14	8	6	15	7
endog_85712	108	100	121	135	100	61	135	109	135	0	103	114	91	123	73
ggcx_85713	968	543	991	756	984	946	778	1011	1096	2	849	897	920	1111	1058
anxa5b_85714	76	71	130	119	119	54	108	170	113	0	67	167	140	173	122
hexa_85715	3	1	1	4	1	1	2	2	1	0	6	0	4	6	5
mob4_85716	359	336	410	548	451	290	377	319	488	0	210	391	343	458	533
ikbkb_85717	7	3	0	2	1	3	4	4	1	0	5	4	5	5	3
slc2a1b_85718	3	14	4	10	12	44	21	28	3	0	17	11	15	4	3
nipsnap1_85719	26	14	39	19	21	42	14	38	23	0	37	30	40	25	15
myl12.2_85720	45	43	35	24	20	51	31	47	33	0	78	30	63	28	15
abcb4_85721	0	1	2	0	0	0	1	0	0	0	2	2	3	2	2
CABZ01032488.1_85722	0	0	0	3	0	3	1	5	2	0	0	1	1	0	12
trappc3_85723	263	150	271	172	199	266	168	274	206	0	311	220	267	253	175
oxsr1b_85724	8	18	31	9	13	25	17	13	20	0	21	11	29	13	9
pafah1b3_85725	2	3	0	0	1	0	0	0	1	0	0	1	1	0	4
mif_85726	3	6	3	7	9	10	8	2	4	0	4	10	5	7	3
lyrm1_85727	4	2	2	3	2	2	2	2	3	0	3	4	7	1	0
kremen1_85728	155	118	156	176	147	138	158	167	109	0	146	117	166	123	120
gria2b_85729	7	1	4	2	8	1	5	18	16	0	3	4	5	3	5
